sk_date,bk_product,idx_value
20070704,h11001,112.08
20070705,h11001,112.02
20070706,h11001,111.97
20070709,h11001,111.98
20070710,h11001,111.81
20070711,h11001,111.77
20070712,h11001,111.82
20070713,h11001,111.86
20070716,h11001,111.96
20070717,h11001,112.34
20070718,h11001,112.24
20070719,h11001,112.03
20070720,h11001,111.86
20070723,h11001,111.8
20070724,h11001,111.84
20070725,h11001,111.82
20070726,h11001,111.9
20070727,h11001,111.89
20070730,h11001,112.06
20070731,h11001,112.14
20070801,h11001,112.19
20070802,h11001,112.17
20070803,h11001,112.22
20070806,h11001,112.3
20070807,h11001,112.31
20070808,h11001,112.18
20070809,h11001,112.16
20070810,h11001,112.12
20070813,h11001,112.11
20070814,h11001,112.13
20070815,h11001,112.5
20070816,h11001,112.43
20070817,h11001,112.39
20070820,h11001,112.48
20070821,h11001,112.37
20070822,h11001,112.27
20070823,h11001,112.35
20070824,h11001,112.41
20070827,h11001,112.43
20070828,h11001,112.49
20070829,h11001,112.47
20070830,h11001,112.52
20070831,h11001,112.67
20070903,h11001,112.6
20070904,h11001,112.56
20070905,h11001,112.42
20070906,h11001,112.48
20070907,h11001,112.47
20070910,h11001,112.46
20070911,h11001,112.42
20070912,h11001,112.17
20070913,h11001,112.17
20070914,h11001,112.16
20070917,h11001,112.08
20070918,h11001,112.1
20070919,h11001,112.12
20070920,h11001,112.11
20070921,h11001,112.05
20070924,h11001,112.01
20070925,h11001,112.01
20070926,h11001,112.02
20070927,h11001,112.08
20070928,h11001,112.24
20071008,h11001,112.49
20071009,h11001,112.36
20071010,h11001,112.35
20071011,h11001,112.37
20071012,h11001,112.42
20071015,h11001,112.4
20071016,h11001,112.44
20071017,h11001,112.37
20071018,h11001,112.37
20071019,h11001,112.34
20071022,h11001,112.29
20071023,h11001,112.23
20071024,h11001,112.05
20071025,h11001,112.11
20071026,h11001,112.18
20071029,h11001,112.27
20071030,h11001,112.26
20071031,h11001,112.34
20071101,h11001,112.3
20071102,h11001,112.23
20071105,h11001,112.3
20071106,h11001,112.22
20071107,h11001,112.14
20071108,h11001,112.09
20071109,h11001,112.12
20071112,h11001,112.15
20071113,h11001,112.05
20071114,h11001,111.85
20071115,h11001,111.85
20071116,h11001,111.82
20071119,h11001,111.96
20071120,h11001,111.92
20071121,h11001,112.01
20071122,h11001,112.04
20071123,h11001,111.92
20071126,h11001,111.91
20071127,h11001,111.84
20071128,h11001,111.8
20071129,h11001,111.86
20071130,h11001,111.84
20071203,h11001,111.86
20071204,h11001,111.74
20071205,h11001,111.86
20071206,h11001,111.82
20071207,h11001,111.88
20071210,h11001,111.84
20071211,h11001,111.93
20071212,h11001,111.96
20071213,h11001,111.91
20071214,h11001,111.92
20071217,h11001,111.6
20071218,h11001,111.54
20071219,h11001,111.6
20071220,h11001,111.56
20071221,h11001,111.58
20071224,h11001,111.58
20071225,h11001,111.78
20071226,h11001,111.77
20071227,h11001,111.84
20071228,h11001,111.78
20080102,h11001,111.71
20080103,h11001,111.81
20080104,h11001,111.86
20080107,h11001,111.85
20080108,h11001,111.84
20080109,h11001,111.86
20080110,h11001,111.97
20080111,h11001,111.98
20080114,h11001,111.95
20080115,h11001,112.0
20080116,h11001,112.05
20080117,h11001,112.03
20080118,h11001,112.11
20080121,h11001,112.13
20080122,h11001,112.15
20080123,h11001,112.26
20080124,h11001,112.3
20080125,h11001,112.37
20080128,h11001,112.39
20080129,h11001,112.42
20080130,h11001,112.55
20080131,h11001,112.68
20080201,h11001,112.88
20080204,h11001,113.03
20080205,h11001,114.12
20080213,h11001,114.3
20080214,h11001,114.28
20080215,h11001,114.29
20080218,h11001,114.3
20080219,h11001,114.21
20080220,h11001,114.2
20080221,h11001,114.23
20080222,h11001,114.24
20080225,h11001,114.27
20080226,h11001,114.29
20080227,h11001,114.29
20080228,h11001,114.4
20080229,h11001,114.57
20080303,h11001,114.57
20080304,h11001,114.55
20080305,h11001,114.55
20080306,h11001,114.57
20080307,h11001,114.56
20080310,h11001,114.58
20080311,h11001,114.59
20080312,h11001,114.58
20080313,h11001,114.55
20080314,h11001,114.57
20080317,h11001,114.6
20080318,h11001,114.61
20080319,h11001,114.65
