sk_date,bk_product,idx_value
20091012,000016,2293.822
20091013,000016,2331.643
20091014,000016,2352.241
20091015,000016,2363.598
20091016,000016,2358.968
20091019,000016,2413.013
20091020,000016,2455.184
20091021,000016,2450.456
20091022,000016,2428.972
20091023,000016,2481.542
20091026,000016,2484.524
20091027,000016,2413.216
20091028,000016,2409.318
20091029,000016,2349.015
20091030,000016,2376.032
20091102,000016,2461.621
20091103,000016,2487.726
20091104,000016,2502.454
20091105,000016,2505.14
20091106,000016,2512.416
20091109,000016,2518.985
20091110,000016,2520.571
20091111,000016,2511.676
20091112,000016,2508.503
20091113,000016,2523.989
20091116,000016,2601.507
20091117,000016,2605.813
20091118,000016,2605.836
20091119,000016,2602.845
20091120,000016,2583.012
20091123,000016,2594.039
20091124,000016,2523.284
20091125,000016,2566.214
20091126,000016,2459.202
20091127,000016,2388.942
20091130,000016,2467.478
20091201,000016,2491.901
20091202,000016,2513.318
20091203,000016,2497.273
20091204,000016,2587.146
20091207,000016,2594.967
20091208,000016,2552.67
20091209,000016,2495.03
20091210,000016,2509.747
20091211,000016,2507.196
20091214,000016,2553.811
20091215,000016,2524.856
20091216,000016,2512.577
20091217,000016,2464.802
20091218,000016,2424.685
20091221,000016,2413.074
20091222,000016,2357.269
20091223,000016,2370.08
20091224,000016,2430.363
20091225,000016,2406.597
20091228,000016,2446.218
20091229,000016,2471.357
20091230,000016,2541.806
20091231,000016,2553.8
20100104,000016,2514.646
20100105,000016,2543.991
20100106,000016,2514.014
20100107,000016,2463.758
20100108,000016,2466.165
20100111,000016,2478.81
20100112,000016,2508.039
20100113,000016,2399.642
20100114,000016,2422.771
20100115,000016,2427.807
20100118,000016,2421.188
20100119,000016,2432.713
20100120,000016,2359.485
20100121,000016,2377.753
20100122,000016,2380.055
20100125,000016,2353.471
20100126,000016,2311.447
20100127,000016,2264.605
20100128,000016,2252.61
20100129,000016,2243.994
20100201,000016,2208.936
20100202,000016,2214.033
20100203,000016,2277.798
20100204,000016,2261.358
20100205,000016,2219.6
20100208,000016,2211.135
20100209,000016,2229.038
20100210,000016,2259.99
20100211,000016,2265.138
20100212,000016,2284.386
20100222,000016,2269.045
20100223,000016,2227.952
20100224,000016,2251.7
20100225,000016,2282.64
20100226,000016,2274.325
20100301,000016,2311.075
20100302,000016,2302.185
20100303,000016,2311.841
20100304,000016,2261.926
20100305,000016,2267.939
20100308,000016,2284.682
20100309,000016,2302.393
20100310,000016,2292.503
20100311,000016,2300.043
20100312,000016,2274.532
20100315,000016,2240.731
20100316,000016,2261.515
20100317,000016,2307.083
20100318,000016,2294.947
20100319,000016,2310.546
20100322,000016,2316.631
20100323,000016,2292.004
20100324,000016,2291.833
20100325,000016,2259.141
20100326,000016,2292.673
20100329,000016,2363.976
20100330,000016,2368.51
20100331,000016,2350.818
20100401,000016,2376.597
20100402,000016,2379.194
20100406,000016,2378.575
20100407,000016,2362.281
20100408,000016,2325.672
20100409,000016,2345.754
20100412,000016,2317.383
20100413,000016,2364.837
20100414,000016,2366.611
20100415,000016,2366.572
20100416,000016,2329.12
20100419,000016,2210.82
20100420,000016,2204.812
20100421,000016,2238.501
20100422,000016,2196.224
20100423,000016,2185.155
20100426,000016,2170.319
